 wl,n
6584.7,2.02E-05
6591.53,2.01E-05
6598.36,2.00E-05
6605.19,2.00E-05
6612.02,1.99E-05
6618.85,1.99E-05
6625.68,1.98E-05
6632.51,1.97E-05
6639.34,1.97E-05
6646.17,1.96E-05
6653.01,1.95E-05
6659.84,1.95E-05
6666.67,1.94E-05
6673.5,1.94E-05
6680.33,1.93E-05
6687.16,1.92E-05
6693.99,1.92E-05
6700.82,1.91E-05
6707.65,1.90E-05
6714.48,1.90E-05
6721.31,1.89E-05
6728.14,1.89E-05
6734.97,1.88E-05
6741.8,1.87E-05
6748.63,1.87E-05
6755.46,1.86E-05
6762.3,1.86E-05
6769.13,1.85E-05
6775.96,1.85E-05
6782.79,1.84E-05
6789.62,1.83E-05
6796.45,1.83E-05
6803.28,1.82E-05
6810.11,1.82E-05
6816.94,1.81E-05
6823.77,1.81E-05
6830.6,1.80E-05
6837.43,1.79E-05
6844.26,1.79E-05
6851.09,1.78E-05
6857.92,1.78E-05
6864.75,1.77E-05
6871.58,1.77E-05
6878.42,1.76E-05
6885.25,1.76E-05
6892.08,1.75E-05
6898.91,1.74E-05
6905.74,1.74E-05
6912.57,1.73E-05
6919.4,1.73E-05
6926.23,1.72E-05
6933.06,1.72E-05
6939.89,1.71E-05
6946.72,1.71E-05
6953.55,1.70E-05
6960.38,1.70E-05
6967.21,1.69E-05
6974.04,1.69E-05
6980.87,1.68E-05
6987.7,1.68E-05
6994.54,1.67E-05
7001.37,1.67E-05
7008.2,1.66E-05
7015.03,1.66E-05
7021.86,1.65E-05
7028.69,1.65E-05
7035.52,1.64E-05
7042.35,1.64E-05
7049.18,1.63E-05
7056.01,1.63E-05
7062.84,1.62E-05
7069.67,1.62E-05
7076.5,1.61E-05
7083.33,1.61E-05
7090.16,1.60E-05
7096.99,1.60E-05
7103.83,1.59E-05
7110.66,1.59E-05
7117.49,1.58E-05
7124.32,1.58E-05
7131.15,1.57E-05
7137.98,1.57E-05
7144.81,1.56E-05
7151.64,1.56E-05
7158.47,1.56E-05
7165.3,1.55E-05
7172.13,1.55E-05
7178.96,1.54E-05
7185.79,1.54E-05
7192.62,1.53E-05
7199.45,1.53E-05
7206.28,1.52E-05
7213.11,1.52E-05
7219.95,1.51E-05
7226.78,1.51E-05
7233.61,1.51E-05
7240.44,1.50E-05
7247.27,1.50E-05
7254.1,1.49E-05
7260.93,1.49E-05
7267.76,1.48E-05
7274.59,1.48E-05
7281.42,1.48E-05
7288.25,1.47E-05
7295.08,1.47E-05
7301.91,1.46E-05
7308.74,1.46E-05
7315.57,1.45E-05
7322.4,1.45E-05
7329.23,1.45E-05
7336.07,1.44E-05
7342.9,1.44E-05
7349.73,1.43E-05
7356.56,1.43E-05
7363.39,1.42E-05
7370.22,1.42E-05
7377.05,1.42E-05
7383.88,1.41E-05
7390.71,1.41E-05
7397.54,1.40E-05
7404.37,1.40E-05
7411.2,1.40E-05
7418.03,1.39E-05
7424.86,1.39E-05
7431.69,1.38E-05
7438.52,1.38E-05
7445.36,1.38E-05
7452.19,1.37E-05
7459.02,1.37E-05
7465.85,1.36E-05
7472.68,1.36E-05
7479.51,1.36E-05
7486.34,1.35E-05
7493.17,1.35E-05
7500,1.35E-05
7506.83,1.34E-05
7513.66,1.34E-05
7520.49,1.33E-05
7527.32,1.33E-05
7534.15,1.33E-05
7540.98,1.32E-05
7547.81,1.32E-05
7554.64,1.32E-05
7561.48,1.31E-05
7568.31,1.31E-05
7575.14,1.30E-05
7581.97,1.30E-05
7588.8,1.30E-05
7595.63,1.29E-05
7602.46,1.29E-05
7609.29,1.29E-05
7616.12,1.28E-05
7622.95,1.28E-05
7629.78,1.28E-05
7636.61,1.27E-05
7643.44,1.27E-05
7650.27,1.27E-05
7657.1,1.26E-05
7663.93,1.26E-05
7670.77,1.26E-05
7677.6,1.25E-05
7684.43,1.25E-05
7691.26,1.24E-05
7698.09,1.24E-05
7704.92,1.24E-05
7711.75,1.23E-05
7718.58,1.23E-05
7725.41,1.23E-05
7732.24,1.22E-05
7739.07,1.22E-05
7745.9,1.22E-05
7752.73,1.21E-05
7759.56,1.21E-05
7766.39,1.21E-05
7773.22,1.20E-05
7780.05,1.20E-05
7786.89,1.20E-05
7793.72,1.19E-05
7800.55,1.19E-05
7807.38,1.19E-05
7814.21,1.19E-05
7821.04,1.18E-05
7827.87,1.18E-05
7834.7,1.18E-05
7841.53,1.17E-05
7848.36,1.17E-05
7855.19,1.17E-05
7862.02,1.16E-05
7868.85,1.16E-05
7875.68,1.16E-05
7882.51,1.15E-05
7889.34,1.15E-05
7896.17,1.15E-05
7903.01,1.14E-05
7909.84,1.14E-05
7916.67,1.14E-05
7923.5,1.14E-05
7930.33,1.13E-05
7937.16,1.13E-05
7943.99,1.13E-05
7950.82,1.12E-05
7957.65,1.12E-05
7964.48,1.12E-05
7971.31,1.11E-05
7978.14,1.11E-05
7984.97,1.11E-05
7991.8,1.11E-05
7998.63,1.10E-05
8005.46,1.10E-05
8012.3,1.10E-05
8019.13,1.09E-05
8025.96,1.09E-05
8032.79,1.09E-05
8039.62,1.09E-05
8046.45,1.08E-05
8053.28,1.08E-05
8060.11,1.08E-05
8066.94,1.07E-05
8073.77,1.07E-05
8080.6,1.07E-05
8087.43,1.07E-05
8094.26,1.06E-05
8101.09,1.06E-05
8107.92,1.06E-05
8114.75,1.05E-05
8121.58,1.05E-05
8128.42,1.05E-05
8135.25,1.05E-05
8142.08,1.04E-05
8148.91,1.04E-05
8155.74,1.04E-05
8162.57,1.04E-05
8169.4,1.03E-05
8176.23,1.03E-05
8183.06,1.03E-05
8189.89,1.03E-05
8196.72,1.02E-05
8203.55,1.02E-05
8210.38,1.02E-05
8217.21,1.01E-05
