wavenumber,k
3332.39,5.66E-05
3335.22,5.67E-05
3338.06,5.67E-05
3340.9,5.68E-05
3343.74,5.68E-05
3346.57,5.69E-05
3349.41,5.69E-05
3352.25,5.70E-05
3355.09,5.71E-05
3357.92,5.71E-05
3360.76,5.72E-05
3363.6,5.72E-05
3366.44,5.73E-05
3369.27,5.73E-05
3372.11,5.74E-05
3374.95,5.74E-05
3377.79,5.75E-05
3380.62,5.75E-05
3383.46,5.76E-05
3386.3,5.76E-05
3389.14,5.77E-05
3391.97,5.78E-05
3394.81,5.78E-05
3397.65,5.79E-05
3400.49,5.79E-05
3403.32,5.80E-05
3406.16,5.80E-05
3409,5.81E-05
3411.84,5.81E-05
3414.67,5.82E-05
3417.51,5.82E-05
3420.35,5.83E-05
3423.19,5.83E-05
3426.02,5.84E-05
3428.86,5.85E-05
3431.7,5.85E-05
3434.54,5.86E-05
3437.37,5.86E-05
3440.21,5.87E-05
3443.05,5.87E-05
3445.89,5.88E-05
3448.72,5.88E-05
3451.56,5.89E-05
3454.4,5.89E-05
3457.24,5.90E-05
3460.07,5.91E-05
3462.91,5.91E-05
3465.75,5.92E-05
3468.59,5.92E-05
3471.42,5.93E-05
3474.26,5.93E-05
3477.1,5.94E-05
3479.94,5.94E-05
3482.77,5.95E-05
3485.61,5.95E-05
3488.45,5.96E-05
3491.28,5.97E-05
3494.12,5.97E-05
3496.96,5.98E-05
3499.8,5.98E-05
3502.63,5.99E-05
3505.47,5.99E-05
3508.31,6.00E-05
3511.15,6.00E-05
3513.98,6.01E-05
3516.82,6.01E-05
3519.66,6.02E-05
3522.5,6.03E-05
3525.33,6.03E-05
3528.17,6.04E-05
3531.01,6.04E-05
3533.85,6.05E-05
3536.68,6.05E-05
3539.52,6.06E-05
3542.36,6.06E-05
3545.2,6.07E-05
3548.03,6.07E-05
3550.87,6.08E-05
3553.71,6.09E-05
3556.55,6.09E-05
3559.38,6.10E-05
3562.22,6.10E-05
3565.06,6.11E-05
3567.9,6.11E-05
3570.73,6.12E-05
3573.57,6.12E-05
3576.41,6.13E-05
3579.25,6.13E-05
3582.08,6.14E-05
3584.92,6.15E-05
3587.76,6.15E-05
3590.6,6.16E-05
3593.43,6.16E-05
3596.27,6.17E-05
3599.11,6.17E-05
3601.95,6.18E-05
3604.78,6.18E-05
3607.62,6.19E-05
3610.46,6.20E-05
3613.3,6.20E-05
3616.13,6.21E-05
3618.97,6.21E-05
3621.81,6.22E-05
3624.65,6.22E-05
3627.48,6.23E-05
3630.32,6.23E-05
3633.16,6.24E-05
3636,6.25E-05
3638.83,6.25E-05
3641.67,6.26E-05
3644.51,6.26E-05
3647.34,6.27E-05
3650.18,6.27E-05
3653.02,6.28E-05
3655.86,6.28E-05
3658.69,6.29E-05
3661.53,6.29E-05
3664.37,6.30E-05
3667.21,6.31E-05
3670.04,6.31E-05
3672.88,6.32E-05
3675.72,6.32E-05
3678.56,6.33E-05
3681.39,6.33E-05
3684.23,6.34E-05
3687.07,6.34E-05
3689.91,6.35E-05
3692.74,6.36E-05
3695.58,6.36E-05
3698.42,6.37E-05
3701.26,6.37E-05
3704.09,6.38E-05
3706.93,6.38E-05
3709.77,6.39E-05
3712.61,6.39E-05
3715.44,6.40E-05
3718.28,6.41E-05
3721.12,6.41E-05
3723.96,6.42E-05
3726.79,6.42E-05
3729.63,6.43E-05
3732.47,6.43E-05
3735.31,6.44E-05
3738.14,6.45E-05
3740.98,6.45E-05
3743.82,6.46E-05
3746.66,6.46E-05
3749.49,6.47E-05
3752.33,6.47E-05
3755.17,6.48E-05
3758.01,6.48E-05
3760.84,6.49E-05
3763.68,6.50E-05
3766.52,6.50E-05
3769.36,6.51E-05
3772.19,6.51E-05
3775.03,6.52E-05
3777.87,6.52E-05
3780.71,6.53E-05
3783.54,6.53E-05
3786.38,6.54E-05
3789.22,6.55E-05
3792.06,6.55E-05
3794.89,6.56E-05
3797.73,6.56E-05
3800.57,6.57E-05
3803.4,6.57E-05
3806.24,6.58E-05
3809.08,6.59E-05
3811.92,6.59E-05
3814.75,6.60E-05
3817.59,6.60E-05
3820.43,6.61E-05
3823.27,6.61E-05
3826.1,6.62E-05
3828.94,6.62E-05
3831.78,6.63E-05
3834.62,6.64E-05
3837.45,6.64E-05
3840.29,6.65E-05
3843.13,6.65E-05
3845.97,6.66E-05
3848.8,6.66E-05
3851.64,6.67E-05
3854.48,6.68E-05
3857.32,6.68E-05
3860.15,6.69E-05
3862.99,6.69E-05
3865.83,6.70E-05
3868.67,6.70E-05
3871.5,6.71E-05
3874.34,6.72E-05
3877.18,6.72E-05
3880.02,6.73E-05
3882.85,6.73E-05
3885.69,6.74E-05
3888.53,6.74E-05
3891.37,6.75E-05
3894.2,6.76E-05
3897.04,6.76E-05
3899.88,6.77E-05
3902.72,6.77E-05
3905.55,6.78E-05
3908.39,6.78E-05
3911.23,6.79E-05
3914.07,6.80E-05
3916.9,6.80E-05
3919.74,6.81E-05
3922.58,6.81E-05
3925.42,6.82E-05
3928.25,6.82E-05
3931.09,6.83E-05
3933.93,6.83E-05
3936.77,6.84E-05
3939.6,6.85E-05
3942.44,6.85E-05
3945.28,6.86E-05
3948.12,6.86E-05
3950.95,6.87E-05
3953.79,6.88E-05
3956.63,6.88E-05
3959.46,6.89E-05
3962.3,6.89E-05
3965.14,6.90E-05
3967.98,6.90E-05
3970.81,6.91E-05
3973.65,6.92E-05
3976.49,6.92E-05
3979.33,6.93E-05
3982.16,6.93E-05
3985,6.94E-05
3987.84,6.94E-05
3990.68,6.95E-05
3993.51,6.96E-05
3996.35,6.96E-05
3999.19,6.97E-05
4002.03,6.97E-05
4004.86,6.98E-05
4007.7,6.98E-05
4010.54,6.99E-05
4013.38,7.00E-05
4016.21,7.00E-05
4019.05,7.01E-05
4021.89,7.01E-05
4024.73,7.02E-05
4027.56,7.02E-05
4030.4,7.03E-05
4033.24,7.04E-05
4036.08,7.04E-05
4038.91,7.05E-05
4041.75,7.05E-05
4044.59,7.06E-05
4047.43,7.06E-05
4050.26,7.07E-05
4053.1,7.08E-05
4055.94,7.08E-05
4058.78,7.09E-05
4061.61,7.09E-05
4064.45,7.10E-05
4067.29,7.11E-05
4070.13,7.11E-05
4072.96,7.12E-05
4075.8,7.12E-05
4078.64,7.13E-05
4081.48,7.13E-05
4084.31,7.14E-05
4087.15,7.15E-05
4089.99,7.15E-05
4092.83,7.16E-05
4095.66,7.16E-05
4098.5,7.17E-05
4101.34,7.18E-05
4104.18,7.18E-05
4107.01,7.19E-05
4109.85,7.19E-05
4112.69,7.20E-05
4115.52,7.20E-05
4118.36,7.21E-05
4121.2,7.22E-05
4124.04,7.22E-05
4126.87,7.23E-05
4129.71,7.23E-05
4132.55,7.24E-05
4135.39,7.25E-05
4138.22,7.25E-05
4141.06,7.26E-05
4143.9,7.26E-05
4146.74,7.27E-05
4149.57,7.27E-05
4152.41,7.28E-05
4155.25,7.29E-05
4158.09,7.29E-05
4160.92,7.30E-05
4163.76,7.30E-05
4166.6,7.31E-05
4169.44,7.32E-05
4172.27,7.32E-05
4175.11,7.33E-05
4177.95,7.33E-05
4180.79,7.34E-05
4183.62,7.34E-05
4186.46,7.35E-05
4189.3,7.36E-05
4192.14,7.36E-05
4194.97,7.37E-05
4197.81,7.37E-05
4200.65,7.38E-05
4203.49,7.39E-05
4206.32,7.39E-05
4209.16,7.40E-05
4212,7.40E-05
4214.84,7.41E-05
4217.67,7.42E-05
4220.51,7.42E-05
4223.35,7.43E-05
4226.19,7.43E-05
4229.02,7.44E-05
4231.86,7.45E-05
4234.7,7.45E-05
4237.54,7.46E-05
4240.37,7.46E-05
4243.21,7.47E-05
4246.05,7.47E-05
4248.89,7.48E-05
4251.72,7.49E-05
4254.56,7.49E-05
4257.4,7.50E-05
4260.24,7.50E-05
4263.07,7.51E-05
4265.91,7.52E-05
4268.75,7.52E-05
4271.58,7.53E-05
4274.42,7.53E-05
4277.26,7.54E-05
4280.1,7.55E-05
4282.93,7.55E-05
4285.77,7.56E-05
4288.61,7.56E-05
4291.45,7.57E-05
4294.28,7.58E-05
4297.12,7.58E-05
4299.96,7.59E-05
4302.8,7.59E-05
4305.63,7.60E-05
