wavenumber,n
4272.11,3.47861
4274.92,3.47861
4277.73,3.47861
4280.55,3.47861
4283.36,3.47861
4286.17,3.47862
4288.99,3.47862
4291.8,3.47862
4294.61,3.47862
4297.43,3.47862
4300.24,3.47863
4303.05,3.47863
4305.87,3.47863
4308.68,3.47863
4311.5,3.47863
4314.31,3.47864
4317.12,3.47864
4319.94,3.47864
4322.75,3.47864
4325.56,3.47864
4328.38,3.47864
4331.19,3.47865
4334,3.47865
4336.82,3.47865
4339.63,3.47865
4342.44,3.47865
4345.26,3.47866
4348.07,3.47866
4350.88,3.47866
4353.7,3.47866
4356.51,3.47866
4359.32,3.47867
4362.14,3.47867
4364.95,3.47867
4367.77,3.47867
4370.58,3.47867
4373.39,3.47868
4376.21,3.47868
4379.02,3.47868
4381.83,3.47868
4384.65,3.47868
4387.46,3.47869
4390.27,3.47869
4393.09,3.47869
4395.9,3.47869
4398.71,3.47869
4401.53,3.4787
4404.34,3.4787
4407.15,3.4787
4409.97,3.4787
4412.78,3.4787
4415.59,3.47871
4418.41,3.47871
4421.22,3.47871
4424.04,3.47871
4426.85,3.47871
4429.66,3.47872
4432.48,3.47872
4435.29,3.47872
4438.1,3.47872
4440.92,3.47872
4443.73,3.47873
4446.54,3.47873
4449.36,3.47873
4452.17,3.47873
4454.98,3.47873
4457.8,3.47874
4460.61,3.47874
4463.42,3.47874
4466.24,3.47874
4469.05,3.47874
4471.86,3.47875
4474.68,3.47875
4477.49,3.47875
4480.31,3.47875
4483.12,3.47875
4485.93,3.47876
4488.75,3.47876
4491.56,3.47876
4494.37,3.47876
4497.19,3.47876
4500,3.47877
4502.81,3.47877
4505.63,3.47877
4508.44,3.47877
4511.25,3.47877
4514.07,3.47878
4516.88,3.47878
4519.69,3.47878
4522.51,3.47878
4525.32,3.47878
4528.14,3.47879
4530.95,3.47879
4533.76,3.47879
4536.58,3.47879
4539.39,3.4788
4542.2,3.4788
4545.02,3.4788
4547.83,3.4788
4550.64,3.4788
4553.46,3.47881
4556.27,3.47881
4559.08,3.47881
4561.9,3.47881
4564.71,3.47881
4567.52,3.47882
4570.34,3.47882
4573.15,3.47882
4575.96,3.47882
4578.78,3.47882
4581.59,3.47883
4584.41,3.47883
4587.22,3.47883
4590.03,3.47883
4592.85,3.47883
4595.66,3.47884
4598.47,3.47884
4601.29,3.47884
4604.1,3.47884
4606.91,3.47884
4609.73,3.47885
4612.54,3.47885
4615.35,3.47885
4618.17,3.47885
4620.98,3.47886
4623.79,3.47886
4626.61,3.47886
4629.42,3.47886
4632.23,3.47886
4635.05,3.47887
4637.86,3.47887
4640.68,3.47887
4643.49,3.47887
4646.3,3.47887
4649.12,3.47888
4651.93,3.47888
4654.74,3.47888
4657.56,3.47888
4660.37,3.47889
4663.18,3.47889
4666,3.47889
4668.81,3.47889
4671.62,3.47889
4674.44,3.4789
4677.25,3.4789
4680.06,3.4789
4682.88,3.4789
4685.69,3.4789
4688.5,3.47891
4691.32,3.47891
4694.13,3.47891
4696.95,3.47891
4699.76,3.47892
4702.57,3.47892
4705.39,3.47892
4708.2,3.47892
4711.01,3.47892
4713.83,3.47893
4716.64,3.47893
4719.45,3.47893
4722.27,3.47893
4725.08,3.47893
4727.89,3.47894
4730.71,3.47894
4733.52,3.47894
4736.33,3.47894
4739.15,3.47895
4741.96,3.47895
4744.77,3.47895
4747.59,3.47895
4750.4,3.47895
4753.22,3.47896
4756.03,3.47896
4758.84,3.47896
4761.66,3.47896
4764.47,3.47896
4767.28,3.47897
4770.1,3.47897
4772.91,3.47897
4775.72,3.47897
4778.54,3.47898
4781.35,3.47898
4784.16,3.47898
4786.98,3.47898
4789.79,3.47898
4792.6,3.47899
4795.42,3.47899
4798.23,3.47899
4801.05,3.47899
4803.86,3.479
4806.67,3.479
4809.49,3.479
4812.3,3.479
4815.11,3.479
4817.93,3.47901
4820.74,3.47901
4823.55,3.47901
4826.37,3.47901
4829.18,3.47902
4831.99,3.47902
4834.81,3.47902
4837.62,3.47902
4840.43,3.47902
4843.25,3.47903
4846.06,3.47903
4848.87,3.47903
4851.69,3.47903
4854.5,3.47904
4857.32,3.47904
4860.13,3.47904
4862.94,3.47904
4865.76,3.47904
4868.57,3.47905
4871.38,3.47905
4874.2,3.47905
4877.01,3.47905
4879.82,3.47906
4882.64,3.47906
4885.45,3.47906
4888.26,3.47906
4891.08,3.47906
4893.89,3.47907
4896.7,3.47907
4899.52,3.47907
4902.33,3.47907
4905.14,3.47908
4907.96,3.47908
4910.77,3.47908
4913.59,3.47908
4916.4,3.47909
4919.21,3.47909
4922.03,3.47909
4924.84,3.47909
4927.65,3.47909
4930.47,3.4791
4933.28,3.4791
4936.09,3.4791
